naziv,vrsta_id,opis,porijeklo,tezina,zivotni_vijek,posebne_potrebe
Zlatni retriver, 2, "Prijateljska i inteligentna pasmina pasa", "Škotska", 30.0, 10, "Redovito vježbanje"
Scottish Fold,1,"Predivna pasmina mačaka sa sklopljenim ušima","Škotska",4.0,15,"Nježno rukovanje"
Sijamska mačka,1,"Elegantna i vokalna pasmina mačaka","Tajland",3.5,18,"Interaktivna igra"
Betta Fish,5,"Šarene slatkovodne ribe","Jugoistočna Azija",0.1,2,"Topla voda"
Crvenouhi klizač,6,"Uobičajena kornjača kućni ljubimac","Sjeverna Amerika",2.0,40,"Vodeno stanište"
Kokatiel,7,"Mala papiga s krestom","Australija",0.1,15,"Društvena interakcija"
Nizozemski patuljasti zec,3,"Mala i prijateljska pasmina kunića","Nizozemska",1.5,8,"Zatvoreni prostor"
Bradati zmaj,16,"Gušter šiljastog izgleda","Australija",0.5,10,"Pjesto za sunčanje"
Sirijski hrčak,9,"Popularni kućni ljubimac hrčak","Sirija",0.1,2,"Kotač za vježbanje"
Kukuruzna zmija,10,"Neotrovna zmija","Sjeverna Amerika",1.0,15,"Sakrij okvir"
Labrador retriver,2,"Prijateljska i energična pasmina pasa","Kanada",29.0,12,"Redovita tjelovježba"
Birmanska mačka,1,"Nježna i privržena pasmina mačaka","Burma",4.5,16,"Tiho okruženje"
Njemački ovčar,2,"Odan i inteligentan radni pas","Njemačka",35.0,11,"Trening i mentalna stimulacija"
Zlatna ribica,5,"Uobičajene ribice kućne ljubimce u akvarijima","Kina",0.1,5,"Čista voda"
Crvenonoga kornjača, 6, "Kopnena kornjača srednje veličine", "Južna Amerika", 10.0,50, "Vanjski ograđeni prostor"
Quaker Parrot,7,"Društvena i pričljiva papiga","Južna Amerika",0.2,20,"Igračke i interakcija"
Holland Lop Rabbit,3,"Slatka pasmina kunića s lepršavim ušima","Nizozemska",2.0,7,"Tijemanje"
Leopard Gecko,16,"Mali gušter s pjegavim uzorkom","Azija",0.1,15,"Izvor topline"
Ruski patuljasti hrčak,9,"Mala i aktivna pasmina hrčaka","Rusija",0.05,2,"Kotač za vježbanje"
Boa Constrictor,10,"Velika zmija ugušivač","Srednja i Južna Amerika",15.0,25,"Veliko ograđeno mjesto"
Maine Coon mačka, 1, "Velika i prijateljska pasmina mačaka", "Sjedinjene Američke Države", 6.0,15, "Redovito šišanje"
Chihuahua,2,"Mala i oprezna pasmina pasa","Meksiko",2.0,16,"Topla odjeća po hladnom vremenu"
Mini Rex Rabbit,3,"Mekana i baršunasta pasmina kunića","Sjedinjene Američke Države",2.5,7,"Zatvoreni prostor za igru"
Zelena iguana,16,"Veliki gušter biljojedi","Srednja i Južna Amerika",8.0,20,"UVB osvjetljenje"
Gerbil,9,"Mali i društveni glodavac","Mongolija",0.05,3,"Materijal za bušenje"
Kraljeva zmija,10,"Neotrovna zmija sa šarenim trakama","Sjeverna Amerika",1.5,20,"Sakrij mrlje"
Budgerigar (Budgie),7,"Mali papagaj sa živopisnim perjem","Australija",0.04,10,"Igračke i ogledala"
Engleski angora kunić,3,"Dugodlaka pasmina kunića","Turska",3.5,7,"Često timarenje"
Leopard morski pas,28,"Elegantna morska riba","Svjetski oceani",30.0,20,"Veliki akvarij"
Red-Eyed Tree Frog,14,"Šarena arborealna žaba","Srednja Amerika",0.1,5,"Vlažna okolina"
Bokser,2,"Energična i razigrana pasmina pasa","Njemačka",70.0,10,"Redovito vježbanje"
Ragdoll Cat,1,"Nježna i opuštena pasmina mačaka","Sjedinjene Države",12.0,15,"Meka posteljina"
Pudl,2,"Inteligentna i hipoalergena pasmina pasa","Francuska",15.0,14,"Redovito šišanje"
Angelfish, 5, "Šarene slatkovodne ribe s dugim perajama", "Južna Amerika", 0.1,5, "Posađeni akvarij"
Crvenotrbuša kornjača, 6, "Vodena kornjača s crvenim oznakama", "Sjeverna Amerika", 5.0,30, "Područje kupanja"
Senegal Parrot,7,"Mala papiga sa sivim i zelenim perjem","Zapadna Afrika",0.15,25,"Igračke i slagalice"
Flamanski divovski zec, 3, "Divovska pasmina zečeva s prijateljskim temperamentom", "Belgija", 6.0,7, "Prostrani ograđeni prostor"
Leopard Gecko,16,"Mali gušter s pjegavim uzorkom","Azija",0.1,15,"Izvor topline"
Patuljasti krokodil,27,"Mali krokodil","Afrika",40.0,70,"Vodeno stanište"
Green Tree Python,10,"Arborealna zmija jarke zelene boje","Nova Gvineja",2.0,20,"Grane za penjanje"
Doberman,2,"Elegantna i zaštitnički raspoložena pasmina pasa","Njemačka",40.0,10,"Obuka poslušnosti"
Bengalska mačka,1,"Elegantna i pjegava pasmina mačaka","Sjedinjene Države",12.0,14,"Interaktivna igra"
Dalmatinac,2,"Prepoznatljiva pasmina crno-pjegavih pasa","Hrvatska",55.0,13,"Redovita tjelovježba"
Neon Tetra,5,"Šarene ribice za zajedničke akvarije","Južna Amerika",0.01,5,"Ponašanje u školi"
Istočna kutijasta kornjača, 6, "Kopnena kornjača sa zglobnim oklopom", "Sjeverna Amerika", 1.5,50, "Plitka posuda"
Kakadu,7,"Velika papiga s krestom i glasnim krikovima","Australija",0.5,40,"Društvena interakcija"
Himalajski kunić, 3, "Dugodlaka pasmina kunića sa sijamskim bojama", "Sjedinjene Američke Države", 3.0,7, "Njega"
Leopard Gecko,16,"Mali gušter s točkastim uzorkom","Azija",0.1,15,"Izvor topline"
Red Fox,29,"Divlji pas s čupavim repom","Širom svijeta",10.0,5,"Vanjski ograđeni prostor"
Zelena anakonda,10,"Velika i snažna zmija","Južna Amerika",100.0,20,"Veliko ograđeno mjesto"
Njemačka doga,2,"Divovska i nježna pasmina pasa","Njemačka",140.0,8,"Prostrani dnevni boravak"
Mačka sfinks,1,"Bezdlaka i nježna pasmina mačaka","Kanada",6.0,15,"Toplo okruženje"
Border Collie,2,"Vrlo inteligentan pastirski pas","Ujedinjeno Kraljevstvo",30.0,14,"Mentalna stimulacija"
Guppy,5,"Šarene i plodne živorodne ribe","Južna Amerika",0.01,2,"Žive biljke"
Oslikana kornjača, 6, "Obična sjevernoamerička kornjača", "Sjeverna Amerika", 2.5, 30, "Pjesto za sunčanje"
Conure Parrot,7,"Mala papiga živopisnog perja","Južna Amerika",0.15,20,"Društvena interakcija"
Mini Lop Rabbit,3,"Kompaktna i prijateljska pasmina kunića","Sjedinjene Države",2.5,7,"Zatvoreni prostor"
Leopard Gecko,16,"Mali gušter s pjegavim uzorkom","Azija",0.1,15,"Izvor topline"
Crvena panda, 29, "Slatki drvni sisavac", "Himalaja", 8.0, 12, "Grane drveća"
Green Tree Python,10,"Arborealna zmija jarke zelene boje","Nova Gvineja",2.0,20,"Grane za penjanje"