naziv,opis,povrsina
Zagrebačka,"Zagrebačka županija je najbliža Zagrebu i obuhvaća njegovo šire područje. Ima površinu od 3060 četvornih kilometara.",3060
Krapinsko-zagorska,"Krapinsko-zagorska županija je poznata po slikovitim brdima, termalnim izvorima i povijesnim gradovima. Površina joj je 1223 četvorna kilometra.",1223
Sisačko-moslavačka,"Sisačko-moslavačka županija ima bogatu kulturnu baštinu i prirodne ljepote. Površina joj je 4440 četvornih kilometara.",4440
Karlovačka,"Karlovačka županija obiluje prirodnim ljepotama, rijekama i šumama. Površina joj je 3626 četvornih kilometara.",3626
Varaždinska,"Varaždinska županija je poznata po baroknoj arhitekturi i vinogradima. Površina joj je 1262 četvorna kilometra.",1262
Koprivničko-križevačka,"Koprivničko-križevačka županija je poznata po poljoprivredi i tradicionalnim manifestacijama. Površina joj je 1521 četvorni kilometar.",1521
Bjelovarsko-bilogorska,"Bjelovarsko-bilogorska županija ima bogatu kulturnu baštinu i prirodne ljepote. Površina joj je 2632 četvorna kilometra.",2632
Primorsko-goranska,"Primorsko-goranska županija obuhvaća obalu Jadranskog mora i planine. Površina joj je 3585 četvornih kilometara.",3585
Ličko-senjska,"Ličko-senjska županija je poznata po Nacionalnom parku Plitvička jezera i planinama. Površina joj je 5353 četvorna kilometra.",5353
Virovitičko-podravska,"Virovitičko-podravska županija je poljoprivredno područje s bogatom kulturnom baštinom. Površina joj je 2026 četvornih kilometara.",2026
Požeško-slavonska,"Požeško-slavonska županija je poznata po vinogradima i tradicionalnim manifestacijama. Površina joj je 1825 četvornih kilometara.",1825
Brodsko-posavska,"Brodsko-posavska županija obuhvaća rijeke i plodna polja. Površina joj je 2039 četvornih kilometara.",2039
Zadarska,"Zadarska županija ima prekrasne otoke, obalu i povijesne gradove. Površina joj je 3640 četvornih kilometara.",3640
Osječko-baranjska,"Osječko-baranjska županija je poznata po poljoprivredi i kulturnoj baštini. Površina joj je 4155 četvornih kilometara.",4155
Šibensko-kninska,"Šibensko-kninska županija obuhvaća obalu Jadranskog mora i povijesne gradove. Površina joj je 2987 četvornih kilometara.",2987
Vukovarsko-srijemska,"Vukovarsko-srijemska županija nalazi se na istoku Hrvatske i obuhvaća područje uz rijeku Dunav. Poznata je po bogatoj kulturnoj baštini, povijesnim spomenicima i prirodnim ljepotama. Površina joj je 2791 četvorni kilometar.",2791
Splitsko-dalmatinska,"Splitsko-dalmatinska županija obuhvaća obalu Jadranskog mora, brojne otoke i povijesne gradove. Split, drugi najveći grad u Hrvatskoj, smješten je u ovoj županiji. Površina joj je 4540 četvornih kilometara1.",4540
Istarska,"Istarska županija je poznata po prekrasnoj obali, slikovitim gradićima, maslinicima i vinogradima. Ima bogatu kulturnu baštinu i privlači turiste zbog svoje gastronomske ponude. Površina joj je 2817 četvornih kilometara2.",2817
Dubrovačko-neretvanska,"Dubrovačko-neretvanska županija obuhvaća područje južne Dalmacije, uključujući povijesni grad Dubrovnik. Poznata je po prekrasnoj obali, otocima i bogatoj kulturnoj baštini. Površina joj je 1781 četvorni kilometar3.",1781
Međimurska,"Međimurska županija smještena je na sjeveru Hrvatske, uz granicu s Mađarskom i Slovenijom. Poznata je po vinogradima, tradicionalnoj arhitekturi i prirodnom okruženju. Površina joj je 729 četvornih kilometara4.",729
Grad Zagreb,"Grad Zagreb je glavni i najveći grad Hrvatske. Poznat je po svojoj bogatoj povijesti, kulturnim spomenicima, muzejima, parkovima i živahnoj atmosferi. Površina grada Zagreba je 641 četvorni kilometar5",641